Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
Colombia,COL,2018,YR2018,..,7.9,3.7,12.2,5.74,2.37,9.3
Colombia,COL,2019,YR2019,7.4,..,..,..,..,..,..
Comoros,COM,2017,YR2017,..,..,..,..,..,..,..
Comoros,COM,2018,YR2018,..,19.5,9.2,29.9,0.69,0.18,1.2
Comoros,COM,2019,YR2019,12.3,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2017,YR2017,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2018,YR2018,..,..,..,..,2,0.83,3.2
"Congo, Dem. Rep.",COD,2019,YR2019,6,..,..,..,..,..,..
"Congo, Rep.",COG,2017,YR2017,..,..,..,..,..,..,..
"Congo, Rep.",COG,2018,YR2018,..,16.1,2,30.1,9.27,3.96,14.63
"Congo, Rep.",COG,2019,YR2019,6,..,..,..,..,..,..
Costa Rica,CRI,2017,YR2017,..,..,..,..,..,..,..
Costa Rica,CRI,2018,YR2018,..,9.8,5,14.7,4.87,2,7.77
Costa Rica,CRI,2019,YR2019,9.1,..,..,..,..,..,..
Cote d'Ivoire,CIV,2017,YR2017,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,2018,YR2018,..,13,1.6,24.3,2.71,1.05,4.3
Cote d'Ivoire,CIV,2019,YR2019,2.4,..,..,..,..,..,..
Croatia,HRV,2017,YR2017,..,..,..,..,..,..,..
Croatia,HRV,2018,YR2018,..,36.6,35.3,37.9,9.23,4.22,14.73
Croatia,HRV,2019,YR2019,5.4,..,..,..,..,..,..
Cuba,CUB,2017,YR2017,..,..,..,..,..,..,..
Cuba,CUB,2018,YR2018,..,27.1,14.5,39.7,5.83,2.44,9.25
Cuba,CUB,2019,YR2019,9.6,..,..,..,..,..,..
Curacao,CUW,2017,YR2017,..,..,..,..,..,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,..,..
Curacao,CUW,2019,YR2019,11.6,..,..,..,..,..,..
Cyprus,CYP,2017,YR2017,..,..,..,..,..,..,..
Cyprus,CYP,2018,YR2018,..,36.7,23.3,50.1,10.81,4.76,16.92
Cyprus,CYP,2019,YR2019,9,..,..,..,..,..,..
Czech Republic,CZE,2017,YR2017,..,..,..,..,..,..,..
Czech Republic,CZE,2018,YR2018,..,31.5,27.3,35.6,14.45,6.99,22.28
Czech Republic,CZE,2019,YR2019,7,..,..,..,..,..,..
